anio,grupo_causa,total_count,total_pop,value,lowercl,uppercl
2010,GC1,67909,81576906,91.9000744111711,91.2089047507367,92.5951731202455
2011,GC1,67630,82522980,89.7984750594444,89.1216898469025,90.4791155029204
2012,GC1,66773,83466542,86.919865682115,86.2605939131507,87.5829170180951
2013,GC1,70519,84405870,90.0443466197181,89.3797949922991,90.7126051948407
2014,GC1,66539,85339000,83.2578844272753,82.6253803045829,83.8940210503577
2015,GC1,60669,86263932,74.3782526087182,73.7866499837524,74.9734139433093
2016,GC1,65842,87180736,79.0851539934183,78.4813991556206,79.6923945862995
2017,GC1,63959,88089622,75.2598958533291,74.6770869243819,75.8461189390329
2018,GC1,66201,88989004,76.3188924458491,75.7380471273868,76.9030821179343
2019,GC1,68514,89877424,77.2745164312612,76.6964417428032,77.8558626777977
2020,GC1,65997,90753526,72.8750520998052,72.3196115645832,73.4336956693392
2021,GC1,74913,91617494,80.9350681989048,80.3559455936028,81.5173247587375
2022,GC1,85008,92469660,89.5457711312643,88.9441161632254,90.1504819944876
2023,GC1,80541,93309162,82.894990904642,82.3226445770336,83.4703240226489
2010,GC2,41980,81576906,56.5726711091058,56.0318467741399,57.1174090225053
2011,GC2,42552,82522980,56.1880396613416,55.6544398950012,56.7254745826664
2012,GC2,40796,83466542,52.8190412843646,52.3067681386688,53.3350750284057
2013,GC2,39568,84405870,50.1746418118856,49.6805650778821,50.6724016478346
2014,GC2,36344,85339000,45.2132649238135,44.7488217008367,45.6813212936439
2015,GC2,34601,86263932,42.2023451263767,41.758145517561,42.6500867453982
2016,GC2,36441,87180736,43.5542821394471,43.1076444916759,44.0043897677181
2017,GC2,33236,88089622,38.9213428437127,38.5035365265896,39.3425487436791
2018,GC2,32915,88989004,37.7974828462702,37.3898385997954,38.2084601971772
2019,GC2,34259,89877424,38.5213577454597,38.1141546398549,38.9318240929311
2020,GC2,34206,90753526,37.6094093369852,37.211539310245,38.010470292393
2021,GC2,38900,91617494,41.8596562498403,41.4442858617457,42.2781496054792
2022,GC2,39919,92469660,41.9199009874974,41.5091852636238,42.3336648518378
2023,GC2,35047,93309162,35.9791809415684,35.6029049185953,36.3584381213727
2010,GC3,24450,81576906,33.191229994116,32.7757424237841,33.6106621259933
2011,GC3,24491,82522980,32.6112009475769,32.203287306128,33.02298398512
2012,GC3,24956,83466542,32.6153216143219,32.2111821641985,33.0232585891405
2013,GC3,22310,84405870,28.6223590758104,28.2473161194233,29.0011303973759
2014,GC3,22433,85339000,28.2175111174971,27.8488116986459,28.5898657218512
2015,GC3,22861,86263932,28.1895132089693,27.8246983282868,28.5579105644486
2016,GC3,24122,87180736,29.1412178853807,28.7741272033167,29.511817397378
2017,GC3,23479,88089622,27.8039149582362,27.4489959420466,28.1622728493014
2018,GC3,22830,88989004,26.48389712262,26.1411266677801,26.8300358733839
2019,GC3,22547,89877424,25.6053975125102,25.2719561576342,25.9421361007724
2020,GC3,20665,90753526,22.9903086299665,22.6776360339826,23.3062115993167
2021,GC3,22007,91617494,23.9698768481395,23.6539132662048,24.2890031463505
2022,GC3,23395,92469660,24.8682935871117,24.5502685375824,25.1894055958423
2023,GC3,21912,93309162,22.7920925187738,22.4908621562029,23.0963446873316
2010,GC4,43440,81576906,58.8637408408455,58.3105710747432,59.4208454101303
2011,GC4,43001,82522980,57.104526060284,56.5650891506758,57.6478197030697
2012,GC4,43091,83466542,56.1702525954174,55.6402090798816,56.7040817103391
2013,GC4,46692,84405870,59.597973229372,59.0576917585007,60.1419610599331
2014,GC4,49455,85339000,61.869297211403,61.3243345002343,62.4178920708798
2015,GC4,54818,86263932,67.2251673186036,66.6627725621794,67.7911216731767
2016,GC4,61514,87180736,73.9641249517508,73.3800274132396,74.5517117578574
2017,GC4,59516,88089622,69.9696646440855,69.4080401907704,70.5347001545721
2018,GC4,56131,88989004,64.6761019497169,64.1416442149042,65.2139025225433
2019,GC4,56635,89877424,63.8101645701035,63.2852447810525,64.3383528488912
2020,GC4,50795,90753526,56.1348585773022,55.6473077116244,56.6256156385683
2021,GC4,57735,91617494,62.4816082007863,61.9724723201383,62.9938838409541
2022,GC4,63780,92469660,67.0136092193619,66.4939262896762,67.5363407899171
2023,GC4,55938,93309162,57.3816525757458,56.9064235997303,57.8598590766424
